| section  | event_object_schema | event_object_table          | trigger_name                                | event_manipulation | action_statement                                           |
| -------- | ------------------- | --------------------------- | ------------------------------------------- | ------------------ | ---------------------------------------------------------- |
| TRIGGERS | auth                | users                       | on_auth_user_created                        | INSERT             | EXECUTE FUNCTION handle_new_user()                         |
| TRIGGERS | auth                | users                       | on_auth_user_created_create_client_profile  | INSERT             | EXECUTE FUNCTION create_default_client_profile()           |
| TRIGGERS | public              | ai_settings                 | set_updated_at_trigger                      | UPDATE             | EXECUTE FUNCTION set_updated_at()                          |
| TRIGGERS | public              | ai_settings                 | trigger_update_ai_settings_updated_at       | UPDATE             | EXECUTE FUNCTION update_updated_at_column()                |
| TRIGGERS | public              | gmb_accounts                | trigger_update_last_login                   | UPDATE             | EXECUTE FUNCTION update_last_login()                       |
| TRIGGERS | public              | gmb_accounts                | trigger_update_last_login                   | INSERT             | EXECUTE FUNCTION update_last_login()                       |
| TRIGGERS | public              | gmb_locations               | trigger_update_normalized_location_id       | INSERT             | EXECUTE FUNCTION update_normalized_location_id()           |
| TRIGGERS | public              | gmb_locations               | gmb_locations_history_trigger               | UPDATE             | EXECUTE FUNCTION record_profile_changes()                  |
| TRIGGERS | public              | gmb_locations               | set_updated_at_trigger                      | UPDATE             | EXECUTE FUNCTION set_updated_at()                          |
| TRIGGERS | public              | gmb_locations               | trigger_update_normalized_location_id       | UPDATE             | EXECUTE FUNCTION update_normalized_location_id()           |
| TRIGGERS | public              | gmb_questions               | trigger_notify_new_question                 | INSERT             | EXECUTE FUNCTION notify_new_question()                     |
| TRIGGERS | public              | gmb_reviews                 | trigger_update_location_review_stats_update | UPDATE             | EXECUTE FUNCTION update_location_review_stats()            |
| TRIGGERS | public              | gmb_reviews                 | trigger_update_location_review_stats_insert | INSERT             | EXECUTE FUNCTION update_location_review_stats()            |
| TRIGGERS | public              | gmb_reviews                 | trigger_update_location_review_stats_delete | DELETE             | EXECUTE FUNCTION update_location_review_stats()            |
| TRIGGERS | public              | gmb_reviews                 | set_updated_at_trigger                      | UPDATE             | EXECUTE FUNCTION set_updated_at()                          |
| TRIGGERS | public              | gmb_reviews                 | new_review_notification                     | INSERT             | EXECUTE FUNCTION notify_new_review()                       |
| TRIGGERS | public              | gmb_reviews                 | trigger_update_gmb_reviews_updated_at       | UPDATE             | EXECUTE FUNCTION update_gmb_reviews_updated_at()           |
| TRIGGERS | public              | gmb_reviews                 | trigger_notify_new_review                   | INSERT             | EXECUTE FUNCTION notify_new_review()                       |
| TRIGGERS | public              | notifications               | notifications_updated_at                    | UPDATE             | EXECUTE FUNCTION update_notifications_updated_at()         |
| TRIGGERS | public              | profiles                    | set_updated_at_trigger                      | UPDATE             | EXECUTE FUNCTION set_updated_at()                          |
| TRIGGERS | public              | profiles                    | set_timestamp_on_profiles                   | UPDATE             | EXECUTE FUNCTION set_current_timestamp_updated_at()        |
| TRIGGERS | public              | weekly_task_recommendations | tr_weekly_task_updated_at                   | UPDATE             | EXECUTE FUNCTION set_weekly_task_updated_at()              |
| TRIGGERS | realtime            | subscription                | tr_check_filters                            | UPDATE             | EXECUTE FUNCTION realtime.subscription_check_filters()     |
| TRIGGERS | realtime            | subscription                | tr_check_filters                            | INSERT             | EXECUTE FUNCTION realtime.subscription_check_filters()     |
| TRIGGERS | storage             | buckets                     | enforce_bucket_name_length_trigger          | INSERT             | EXECUTE FUNCTION storage.enforce_bucket_name_length()      |
| TRIGGERS | storage             | buckets                     | enforce_bucket_name_length_trigger          | UPDATE             | EXECUTE FUNCTION storage.enforce_bucket_name_length()      |
| TRIGGERS | storage             | objects                     | objects_insert_create_prefix                | INSERT             | EXECUTE FUNCTION storage.objects_insert_prefix_trigger()   |
| TRIGGERS | storage             | objects                     | update_objects_updated_at                   | UPDATE             | EXECUTE FUNCTION storage.update_updated_at_column()        |
| TRIGGERS | storage             | objects                     | objects_update_create_prefix                | UPDATE             | EXECUTE FUNCTION storage.objects_update_prefix_trigger()   |
| TRIGGERS | storage             | objects                     | objects_delete_delete_prefix                | DELETE             | EXECUTE FUNCTION storage.delete_prefix_hierarchy_trigger() |
| TRIGGERS | storage             | prefixes                    | prefixes_delete_hierarchy                   | DELETE             | EXECUTE FUNCTION storage.delete_prefix_hierarchy_trigger() |
| TRIGGERS | storage             | prefixes                    | prefixes_create_hierarchy                   | INSERT             | EXECUTE FUNCTION storage.prefixes_insert_trigger()         |
