separator,schema,table_name,column_count,total_size,table_size,index_count,table_comment
--- TABLE ---,public,activity_logs,7,504 kB,288 kB,3,
--- TABLE ---,public,ai_requests,13,128 kB,8192 bytes,7,Tracks AI API requests for analytics and billing
--- TABLE ---,public,ai_settings,8,104 kB,8192 bytes,6,AI provider settings for users
--- TABLE ---,public,audit_logs,8,224 kB,104 kB,2,Application audit log for key security-sensitive actions.
--- TABLE ---,public,auto_reply_settings,22,40 kB,0 bytes,4,
--- TABLE ---,public,business_profile_history,8,1056 kB,344 kB,4,
--- TABLE ---,public,error_logs,24,88 kB,0 bytes,9,Centralized error logging for client and server-side errors
--- TABLE ---,public,gmb_accounts,18,312 kB,32 kB,13,
--- TABLE ---,public,gmb_locations,46,2928 kB,592 kB,38,Real-time enabled: Updates broadcast to subscribed clients
--- TABLE ---,public,gmb_media,13,4008 kB,1664 kB,15,Stores media items (photos/videos) from Google My Business locations
--- TABLE ---,public,gmb_metrics,10,96 kB,16 kB,3,
--- TABLE ---,public,gmb_performance_metrics,12,864 kB,192 kB,14,Stores daily performance metrics from Business Profile Performance API
--- TABLE ---,public,gmb_posts,24,120 kB,0 bytes,14,Stores GMB posts for composing and scheduling Business Profile posts
--- TABLE ---,public,gmb_questions,37,552 kB,48 kB,28,Real-time enabled: Changes broadcast to subscribed clients
--- TABLE ---,public,gmb_reviews,51,5784 kB,2312 kB,37,Stores Google My Business reviews with AI analysis and reply management
--- TABLE ---,public,gmb_search_keywords,12,6288 kB,1648 kB,13,Stores search keyword impressions from Business Profile Performance API
--- TABLE ---,public,gmb_sync_logs,12,624 kB,392 kB,3,
--- TABLE ---,public,notifications,18,64 kB,0 bytes,7,
--- TABLE ---,public,oauth_states,6,160 kB,24 kB,6,Stores temporary OAuth state parameters for secure OAuth flow
--- TABLE ---,public,performance_metrics,7,40 kB,0 bytes,4,
--- TABLE ---,public,profiles,10,168 kB,32 kB,6,
--- TABLE ---,public,rate_limit_requests,7,48 kB,0 bytes,5,
--- TABLE ---,public,sync_status,8,112 kB,16 kB,4,"Tracks GMB sync runs (status, progress, timings) for each user/account"
--- TABLE ---,public,weekly_task_recommendations,17,112 kB,8192 bytes,6,
separator,table_name,ordinal_position,column_name,data_type,full_type,is_nullable,column_default,character_maximum_length,numeric_precision,numeric_scale,datetime_precision,underlying_type,column_comment
--- COLUMN ---,activity_logs,1,id,uuid,uuid,NO,gen_random_uuid(),,,,,uuid,
--- COLUMN ---,activity_logs,2,user_id,uuid,uuid,YES,,,,,,uuid,
--- COLUMN ---,activity_logs,3,activity_type,text,text,NO,,,,,,text,
--- COLUMN ---,activity_logs,4,activity_message,text,text,NO,,,,,,text,
--- COLUMN ---,activity_logs,5,metadata,jsonb,jsonb,YES,'{}'::jsonb,,,,,jsonb,
--- COLUMN ---,activity_logs,6,actionable,boolean,boolean,YES,false,,,,,bool,
--- COLUMN ---,activity_logs,7,created_at,timestamp with time zone,timestamp with time zone,YES,now(),,,,6,timestamptz,
--- COLUMN ---,ai_requests,1,id,uuid,uuid,NO,gen_random_uuid(),,,,,uuid,
--- COLUMN ---,ai_requests,2,user_id,uuid,uuid,NO,,,,,,uuid,Foreign key to auth.users(id)
--- COLUMN ---,ai_requests,3,location_id,uuid,uuid,YES,,,,,,uuid,"Foreign key to gmb_locations(id), nullable"
--- COLUMN ---,ai_requests,4,provider,text,text,NO,,,,,,text,
--- COLUMN ---,ai_requests,5,model,text,text,NO,,,,,,text,
--- COLUMN ---,ai_requests,6,feature,text,text,NO,,,,,,text,
--- COLUMN ---,ai_requests,7,prompt_tokens,integer,"integer(32,0)",YES,0,,32,0,,int4,
--- COLUMN ---,ai_requests,8,completion_tokens,integer,"integer(32,0)",YES,0,,32,0,,int4,
--- COLUMN ---,ai_requests,9,total_tokens,integer,"integer(32,0)",YES,0,,32,0,,int4,
--- COLUMN ---,ai_requests,10,cost_usd,numeric,"numeric(10,6)",YES,0,,10,6,,numeric,
--- COLUMN ---,ai_requests,11,latency_ms,integer,"integer(32,0)",YES,0,,32,0,,int4,
--- COLUMN ---,ai_requests,12,success,boolean,boolean,YES,true,,,,,bool,
--- COLUMN ---,ai_requests,13,created_at,timestamp with time zone,timestamp with time zone,YES,now(),,,,6,timestamptz,
--- COLUMN ---,ai_settings,1,id,uuid,uuid,NO,gen_random_uuid(),,,,,uuid,
--- COLUMN ---,ai_settings,2,user_id,uuid,uuid,NO,,,,,,uuid,Foreign key to auth.users(id)
--- COLUMN ---,ai_settings,3,provider,text,text,NO,,,,,,text,
--- COLUMN ---,ai_settings,4,api_key,text,text,NO,,,,,,text,
